anime,season,year,category,songname,artist,link,status
Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Ending Theme,&Z,SawanoHiroyuki[nZk]:mizuki,https://open.spotify.com/track/6X2jYZpOrXiDXpOvQGcvsU,
Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Ending Theme,GENESIS,Eir Aoi,https://open.spotify.com/track/5qXYkYpk5e5rS07lU3USCC,
Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Ending Theme,Harmonious,Asseylum Vers Allusia starring Sora Amamiya, ,
Aldnoah.Zero Part 2 (Aldnoah.Zero),Winter 2015,2015,Ending Theme,heavenly blue,Kalafina,https://open.spotify.com/track/5qpUyii8Sh8DZay1IoVFtj,
Ame wo Tsugeru Hyouryuu Danchi (Drifting Home),,1900,Ending Theme,Kiete Shimai Sou Desu (消えてしまいそうです),ZUTOMAYO,https://open.spotify.com/track/4wYCZ6QS5EClBXqjakTieR,
Ange Vierge,Summer 2016,2016,Opening Theme,Love is MY RAIL,Konomi Suzuki, ,
Ange Vierge,Summer 2016,2016,Ending Theme,Link with U,"L.I.N.K.s (Yuuka Aisaka, Mai Ishihara, Yoshiko Ikuta, Rie Takahashi, Nozomi Yamamoto)", ,
Angel Beats!,Spring 2010,2010,Opening Theme,"My Soul, Your Beats!",Lia, ,
Angel Beats!,Spring 2010,2010,Opening Theme,"My Soul, Your Beats!",LiSA, ,
Angel Beats!,Spring 2010,2010,Ending Theme,Brave Song,Aoi Tada, ,
Angel Beats!,Spring 2010,2010,Ending Theme,Ichiban no Takaramono ~Yui final ver.~ (一番の宝物 ~Yui final ver.~),Girls Dead Monster feat. LiSA, ,
Angel Beats!,Spring 2010,2010,Ending Theme,Ichiban no Takaramono (一番の宝物),karuta, ,
Angel Beats! Specials,,1900,Opening Theme,"My Soul, Your Beats!",Lia, ,
Angel Beats! Specials,,1900,Ending Theme,Brave Song,Aoi Tada, ,
Anima Yell!,Fall 2018,2018,Opening Theme,Jump Up↑ Yell!! (ジャンプアップ↑エール!!),"Kaminoki Koukou Cheering-bu [Kohane Hatoya (Yuka Ozaki), Hizume Arima (Yuina Yamada), Uki Sawatari (Mikako Izawa), Kotetsu Tatejima (Tomori Kusunoki), Kana Ushiku (Haruka Shiraishi)]",https://open.spotify.com/track/0UuSK5e4JFW2xqYm9HYJ8f,
Anima Yell!,Fall 2018,2018,Ending Theme,One for All,"Kaminoki Koukou Cheering-bu [Kohane Hatoya (Yuka Ozaki), Hizume Arima (Yuina Yamada), Uki Sawatari (Mikako Izawa), Kotetsu Tatejima (Tomori Kusunoki), Kana Ushiku (Haruka Shiraishi)]",https://open.spotify.com/track/1Gq2azq6OIw3v8wKeXTddX,
Another,Winter 2012,2012,Opening Theme,Kyoumu Densen (凶夢伝染),ALI PROJECT, ,
Another,Winter 2012,2012,Ending Theme,anamnesis,Annabel, ,
Another: The Other,,1900,Opening Theme,Kyoumu Densen (凶夢伝染),ALI PROJECT, ,
Another: The Other,,1900,Ending Theme,anamnesis,Annabel, ,
Ansatsu Kyoushitsu (Assassination Classroom),Winter 2015,2015,Opening Theme,Seishun Satsubatsu-ron (青春サツバツ論),"3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma]",https://open.spotify.com/track/0PY7EFmEa52bsJ12xSq4B5,
Ansatsu Kyoushitsu (Assassination Classroom),Winter 2015,2015,Opening Theme,Seishun Satsubatsu-ron (青春サツバツ論),"3-nen E-gumi Shuugakuryokou 4-han (3年E組 修学旅行4班) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Yoshitaka Yamaya, Satomi Sato, Sayuri Yahagi]", ,
