,anime,season,year,category,songname,artist,link,status
1595,Sakamoto desu ga_ (Haven't You Heard_ I'm Sakamoto),Spring 2016,2016,Ending Theme,Nakushita Hibi ni Sayonara (無くした日々にさよなら),Suneohair,https://open.spotify.com/track/1fqwJ7EuDICo1O8Mu5jg1H,Downloaded
1596,Sakamoto desu ga_ Sakamoto deshita_,,1900,Opening Theme,COOLEST,Customi Z,https://www.youtube.com/watch?v=f607MHZ8s0U,
1597,Sakamoto desu ga_ Sakamoto deshita_,,1900,Ending Theme,Nakushita Hibi ni Sayonara (無くした日々にさよなら),Suneohair,https://open.spotify.com/track/1fqwJ7EuDICo1O8Mu5jg1H,Downloaded
1598,Sakasama no Patema (Patema Inverted),,1900,Ending Theme,Patema Inverse,Estelle Michaeu,https://www.youtube.com/watch?v=UZgItG7Xp-A,
1599,Sakura Trick,Winter 2014,2014,Opening Theme,Won(_3_)Chu KissMe!,"SAKURA_TRICK [Haruka Takayama (Haruka Tomatsu), Yuu Sonoda (Yuka Iguchi), Kotone Noda (Yuuka Aisaka), Shizuku Minami (Hiromi Igarashi), Kanade Ikeno (Mai Fuchigami), Yuzu Iizuka (Megumi Toda)]",https://open.spotify.com/track/6ShLMzAcG51IfujVJFYwqN,Downloaded
1600,Sakura Trick,Winter 2014,2014,Ending Theme,Kiss(and)Love,"SAKURA_TRICK [Haruka Takayama (Haruka Tomatsu), Yuu Sonoda (Yuka Iguchi), Kotone Noda (Yuuka Aisaka), Shizuku Minami (Hiromi Igarashi), Kanade Ikeno (Mai Fuchigami), Yuzu Iizuka (Megumi Toda)]",https://open.spotify.com/track/07xzUUjyk1RAxV2tTBy1di,Downloaded
1601,Sakura Trick,Winter 2014,2014,Ending Theme,Sakura Sweet Kiss (桜Sweet Kiss),"SAKURA_TRICK [Haruka Takayama (Haruka Tomatsu), Yuu Sonoda (Yuka Iguchi), Kotone Noda (Yuuka Aisaka), Shizuku Minami (Hiromi Igarashi), Kanade Ikeno (Mai Fuchigami), Yuzu Iizuka (Megumi Toda)]",https://open.spotify.com/track/2tvvT2Skqrg0OxZuAynSdt,Downloaded
1602,Sakura-sou no Pet na Kanojo (The Pet Girl of Sakurasou),Fall 2012,2012,Opening Theme,Kimi ga Yume wo Tsuretekita (君が夢を連れてきた),"Pet na Kanojo-tachi (Ai Kayano, Mariko Nakatsu, Natsumi Takamori) ",https://www.youtube.com/watch?v=VcwzDxqzpo0,
1603,Sakura-sou no Pet na Kanojo (The Pet Girl of Sakurasou),Fall 2012,2012,Opening Theme,Yume no Tsuzuki (夢の続き),Konomi Suzuki,https://www.youtube.com/watch?v=NPc__cmzLL8,
1604,Sakura-sou no Pet na Kanojo (The Pet Girl of Sakurasou),Fall 2012,2012,Opening Theme,I call your name again,Nanami Aoyama (Mariko Nakatsu),https://www.youtube.com/watch?v=qGBArStE9sI,
1605,Sakura-sou no Pet na Kanojo (The Pet Girl of Sakurasou),Fall 2012,2012,Ending Theme,DAYS of DASH,Konomi Suzuki,https://www.youtube.com/watch?v=me_5Y5v5SrU,
1606,Sakura-sou no Pet na Kanojo (The Pet Girl of Sakurasou),Fall 2012,2012,Ending Theme,Prime number ~Kimi to Deaeru Hi~ (Prime number～君と出会える日～),Asuka Ookura (大倉明日香),https://www.youtube.com/watch?v=1EXMIdue8Tg,
1607,Sakura-sou no Pet na Kanojo (The Pet Girl of Sakurasou),Fall 2012,2012,Ending Theme,Kyou no Hi wa Sayounara (今日の日はさようなら),"Horie Yui, Nakatsu Mariko, Takamori Natsumi, Matsuoka Yoshitsugu,Sakurai Takahiro, Kayano Ai, Kawasumi Ayako, Toyoguchi Megumi ",https://www.youtube.com/watch?v=VyZQ0ij8L3o,
1608,Sakurada Reset (Sagrada Reset),Spring 2017,2017,Opening Theme,Reset ~Acoustic Version~,Yui Makino ,https://open.spotify.com/track/0tKM6VRR5rPdpeLfePvSq8,Downloaded
1609,Sakurada Reset (Sagrada Reset),Spring 2017,2017,Opening Theme,Reset,Yui Makino ,https://open.spotify.com/track/2goFS4qNTxFnwgYm2t91h4,Downloaded
1610,Sakurada Reset (Sagrada Reset),Spring 2017,2017,Opening Theme,Dakara Boku wa Boku wo Tebanasu (だから僕は僕を手放す),WEAVER,https://open.spotify.com/track/3xCPvOVykGYOh0bm34A8VZ,Downloaded
1611,Sakurada Reset (Sagrada Reset),Spring 2017,2017,Ending Theme,Tonari Au (トナリアウ),THE ORAL CIGARETTES,https://open.spotify.com/track/2G9i5EuCt3GHeCwSwqdBkz,Downloaded
1612,Sakurada Reset (Sagrada Reset),Spring 2017,2017,Ending Theme,Colors of Happiness,Yui Makino,https://open.spotify.com/track/0Su0U97uQjVkcP4c02IVEY,Downloaded
1613,Sakurada Reset (Sagrada Reset),Spring 2017,2017,Ending Theme,Dakara Boku wa Boku wo Tebanasu (だから僕は僕を手放す),WEAVER,https://open.spotify.com/track/3xCPvOVykGYOh0bm34A8VZ,Downloaded
1614,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Fall 2015,2015,Opening Theme,Dear answer,TRUE,https://open.spotify.com/track/7zezTsQHgKCuoxkoGVwduG,Downloaded
