AnimeTitle,ID,Status
Hataraku Saibou: Necchuushou - Moshimo Pocari Sweat ga Attara,40076,Completed
Hatena☆Illusion,35252,Completed
"Hatena☆Illusion: Koi to Mahou no Illusion de, Muchuu Sasechaimasu! Special",41285,Completed
He Wei Dao x Re:Cong Ling Kaishi de Yi Shijie Shenghuo,38389,Completed
Heion Sedai no Idaten-tachi,42625,Completed
Hello World,38816,Completed
Hentatsu (TV),40995,Completed
Hentatsu (TV) Recap,41564,Completed
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,49692,On-Hold
Hige wo Soru. Soshite Joshikousei wo Hirou.,40938,Completed
High Score Girl,21877,Completed
High Score Girl II,39570,Completed
High Score Girl: Extra Stage,38422,Completed
Highschool of the Dead,8074,Completed
Highschool of the Dead: Drifters of the Dead,9515,Completed
Himote House,36945,Completed
Hinamatsuri (TV),36296,Completed
Hitoribocchi no Marumaru Seikatsu,37614,Completed
Hiyokoi,8768,Plan to Watch
Honobono Log,33241,Plan to Watch
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,39468,Completed
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,40815,Completed
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,42429,Completed
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,40841,Completed
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap,51616,Completed
Hoozuki no Reitetsu,20431,Plan to Watch
Hori-san to Miyamura-kun,14753,Plan to Watch
Horimiya,42897,Completed
Hortensia Saga,40961,Completed
Hoshi no Koe,256,Completed
Hoshi wo Ou Kodomo,9760,Completed
Hoshiai no Sora,37972,Completed
Hotaru no Haka,578,Completed
Hotarubi no Mori e,10408,Completed
Houkago Saikoro Club,38276,Completed
Houkago Teibou Nisshi,39730,Completed
Housekishou Richard-shi no Nazo Kantei,40230,Completed
Howl no Ugoku Shiro,431,Completed
Hyakuren no Haou to Seiyaku no Valkyria,37446,Completed
Hyouka,12189,Completed
Hyouka: Motsubeki Mono wa,13469,Completed
Hypnosis Mic: Division Rap Battle - Rhyme Anima,40803,Completed
Id:Invaded,40046,Completed
Idolls!,42981,Completed
Idoly Pride,40842,Completed
"Ijiranaide, Nagatoro-san",42361,Completed
Ikebukuro West Gate Park,40359,Completed
"Ima, Soko ni Iru Boku",160,Completed
Inferno Cop,16774,Completed
Infinite Dendrogram,38909,Completed
Ingress the Animation,37438,Completed
Inou-Battle wa Nichijou-kei no Naka de,25159,Plan to Watch
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,40833,Completed
Irozuku Sekai no Ashita kara,37497,Completed
Isekai Cheat Magician,37744,Completed
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,37210,Completed
Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,41623,Completed
Isekai Quartet,38472,Completed
Isekai Quartet 2,39988,Completed
Isekai wa Smartphone to Tomo ni.,35203,Completed
Ishuzoku Reviewers,40010,Completed
Island,33012,Completed
Isshuukan Friends.,21327,Completed
Isuca,25429,Plan to Watch
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,38790,Completed
Ito Junji: Collection - Tomie,36992,Completed
Itsudatte Bokura no Koi wa 10 cm Datta.,36220,Completed
Itsuka Aeru Kimi ni,38473,Completed
Iwa Kakeru! Sport Climbing Girls,41783,Completed
Iya na Kao sare nagara Opantsu Misete Moraitai,37021,Completed
Jahy-sama wa Kujikenai!,48753,Completed
Jaku-Chara Tomozaki-kun,40530,Completed
Jashin-chan Dropkick,36906,Completed
Jashin-chan Dropkick Episode 12,38383,Completed
Jashin-chan Dropkick',39049,Completed
Jibaku Shounen Hanako-kun,39534,Completed
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,53621,Plan to Watch
Jin-Rou,570,Plan to Watch
Jingai-san no Yome,37992,Completed
Jinrui wa Suitai Shimashita,10357,Plan to Watch
JoJo no Kimyou na Bouken (TV),14719,Completed
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,20899,Completed
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,26055,Completed
Josee to Tora to Sakana-tachi,40787,Completed
Joshikausei,38295,Completed
Joshikousei no Mudazukai,38619,Completed
Jouran: The Princess of Snow and Blood,47250,Completed
Jujutsu Kaisen,40748,Completed
Jujutsu Kaisen 0 Movie,48561,Completed
Just Because!,35639,Completed
Kabukichou Sherlock,38161,Completed
Kagami no Kojou,51116,Plan to Watch
Kage no Jitsuryokusha ni Naritakute!,48316,Watching
Kageki Shoujo!!,43691,Completed
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,37999,Completed
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,40591,Plan to Watch
Kai Byoui Ramune,42822,Completed
Kaiba,3701,Plan to Watch
Kaichou wa Maid-sama!,7054,Completed
